dominio,ocorrencias
Eis portanto o momento ambicionado,1
De cumprirmos as ordens recebidas...,1
JOSUÉ, timido, covarde, circumvagando o olhar:,1
Mas Benjamim...,1
O que é?,1
Sinceramente,,1
Vou achando pesada esta incumbencia.,1
É que nós somos dois: elles são tantos!...,1
Em verdade te digo; principío,1
A estar arrependido de indicar-te,1
Para meu ajudante n'esta empreza!,1
Hanan mandou que fossemos prudentes:,1
Devemos ter prudencia. Hanan mandou,1
Que tomassemos nota do que vissemos:,1
Tudo o que virmos lhe será contado.,1
Hanan mandou que fosse descoberto,1
O melhor paradeiro onde, em segredo,,1
Se podesse prender o Nazareno,,1
Muito em segredo, sim, para evitar,1
Protestos e tumultos: pois, meu caro,,1
Havemos de encontral-o!,1
Estás bem certo?...,1
BENJAMIM velhacamente, animando-o:,1
E não vejo que mal nos ameace.,1
O ex-Grande Sacerdote é simplesmente,1
Quem se entrega aos revezes d'este jogo.,1
Se perde ou ganha, o caso é lá com elle;,1
E nós de qualquer forma ganharemos,1
Não só a consciencia de homens probos,,1
Leaes respeitadores de Moysés...,1
JOSUÉ unctuosamente:,1
O que á minha alma traz doce conforto...,1
... Mas tambem o dinheiro promettido,,1
Que não menos conforta as nossas bolsas.,1
JOSUÉ com desinteresse hypocrita:,1
Tens um sistema de encarar a vida!...,1
É forçoso que nós nos convençamos,1
De que, se os bons principios se defendem,,1
Tambem se deve garantir ao corpo,1
A delicia das bôas digestões...,1
Á custa do dinheiro do Conselho!,1
--Ouve portanto o que é mister cumprir:,1
Tu vaes para a cidade; a bréve trecho,1
Procurarás o ex-Sacerdote... E então,1
Dir-lhe-ás que o profeta e os companheiros,1
Chegaram a Bethania era sol-posto;,1
Que decerto aqui ficam toda a noite,,1
E que eu não deixarei de estar álerta.,1
Espéra! De manhã,,1
Logo que vejas os clarões do dia,,1
Has de esperar por mim...,1
Que sitio indicas?,1
Não distante da entrada principal,1
Do Templo. Dado o caso que eu não chegue,,1
Commigo has de encontrar-te...,1
E onde?,1
Aqui.,1
Percebeste?,1
Que pergunta!,1
Como quem desenrola o «Pentateuco»,1
E passa a vista pelo que elle diz.,1
--A proposito: guarda-me estes rôlos.,1
BENJAMIM acceitando-os e juntando-os aos seus:,1
Tens razão. As Sagradas Escripturas,1
Iriam pezar muito no caminho.,1
Mas deves ir com um, pois é preciso,1
Para te dar o aspecto d'homem sério.,1
Ao romper da manhã...,1
Vae-te! Vem gente!,1
E tomam para lados oppostos, revestidos de sua compostura habitual.,1
Quatro homens assomaram á porta do _Leproso_; são Eleazar acompanhado de,1
João, Simão Pedra e Matheus.,1
João é um bello tipo da raça judaica do norte. Alto, robusto, espadaúdo,1
e ainda imberbe. Os louros cabellos de genuino galileu caem-lhe sobre os,1
hombros em fartos anneis. Olhar azul, meigo; gesto largo e suave, na,1
quietação d'alma; mas desordenado e brusco, se a colera o determina. Voz,1
intensa, possante, cadenciada, de homem habituado a falar ao ar livre,,1
na grande extensão da superficie das aguas.,1
Mais velho do que elle, Simão Pedra deixa transparecer em toda a sua,1
figura suavidade extranha em creatura humana. De Capharnaum, galileu,1
tambem e tambem robusto homem do mar, o seu rosto é circumdado pelos,1
annelados cabellos e pela barba comprida, bipartida, e tão loura, que,1
mais parece branca. Olhar penetrante, mas bondoso e ligeiramente,1
accentuado por um vinco entre os supercilios, o que torna a sua,1
fisionomia um pouco severa. Gesto sempre sereno; voz protectora,,1
paternal.,1
Matheus é mais velho do que João e mais novo do que Simão Pedra. Baixo,,1
de forte musculatura, barba ruiva bipartida; olhos meùdos e muito vivos,1
de antigo publicano. Todavia o conjuncto da fisionomia é attrahente por,1
uma expressão de rude franqueza que n'elle predomina. Voz quasi,1
homofona, de homem metódico, que raras vezes se enthusiasma ou,1
sensibilisa, e que tem da vida uma noção segura.,1
Os trez trazem na cabeça turbante á moda egypcia, com as pontas caídas,1
ao longo das costas. Os mantos e as tunicas empoeirados mostram que foi,1
grande o percurso que fizeram os romeiros.,1
JOÃO resfolegando:,1
Amigos, n'este sitio ha fresco e liberdade!,1
E ficam bem á vista os muros da cidade...,1
Não sei o que adivinho!...,1
Ao largo esse receio!,1
Muito mais me entristece a nuvem má que veio,1
Escurecer ao Mestre o doce olhar...,1
SIMÃO PEDRA, com o braço direito sobre o hombro de Eleazar, n'uma,1
intimidade muito amiga:,1
Meu caro,,1
Que justissimo orgulho eu tenho, se comparo,1
O tempo que passou a este em que hoje estamos:,1
O verbo illuminando a treva e os recamos,1
Do manto a que se abriga uma ambição enorme;,1
As contorsões finaes do animal disforme,1
Que viu a luz no Horeb ao sopro de Moysés,,1
Rojando-se afinal vencido a nossos pés!,1
ELEAZAR descrente, mas muito timido, querendo occultar o que lhe vae,1
n'alma:,1
E julgas que não tarda em despontar o dia,1
Tão desejado?,1
Eu?! Pois quem duvidaría?,1
--A doutrina do Mestre é como o grão de trigo,,1
Que o lavrador dispõe no seu terreno amigo.,1
Que mais cuidados tem o bom do lavrador?,1
Não tem nem um cuidado. A terra, em seu labor,,1
Se encarrega de dar ao germe, ao simples grão,,1
A força e o poder da multiplicação.,1
Se o lavrador depois no campo seu repára,1
E vê brilhar ao sol a refulgente seára,,1
Exclama, commovido: Abençoada terra,,1
Que assim tanta bondade e tanto amor encerra!,1
ELEAZAR, quasi a medo:,1
Mas se acaso acontece o lavrador morrer...?,1
Quem passa pela estrada e attenta no crescer,1
Do risonho trigal, diz logo, reverente:,1
Bemdito quem dispoz na terra esta semente!,1
ELEAZAR, depois de grande hesitação:,1
Escuta, Simão Pedra: Ás furias do Conselho,1
Não curvareis, talvez, humildes, o joelho?...,1
Nunca!,1
Nem fugireis?,1
JOÃO que se erguera, rapido e violento:,1
Nenhum de nós!,1
Judas sae de casa de Simão e vae sentar-se, pensativo, junto da fonte.,1
Bem o viu João: mas, dissimulando, continúa ainda mais violento, e,,1
dando ás palavras uma intenção reservada:,1
Nenhum...,1
Dos que têem do Mestre a patria por commum!,1
Posso dizer bem alto, amigo: os seus patricios,1
Nunca hão de vacilar perante os sacrificios.,1
Se acaso o Mestre fôr levado de vencida,,1
Qualquer de nós dará por elle a propria vida!,1
Quem ha de recusar-se a tal? Filippe, André,,1
Thaddeu, Nathaniel, Simão, Matheus, Thomé,,1
Iago, o publicano, ou Simão Pedra?--Não!,1
Julga-me alguem covarde, a mim, ou a meu irmão?,1
--Vês pois, Eleazar, qual seja o nosso intento.,1
Não falaste de mim...,1
JOÃO muito secco e terminante:,1
Por méro esquecimento.,1
E vae para junto de Matheus, como para evitar maior explicação.,1
ELEAZAR ao ouvido de Simão Pedra:,1
Pareceu-me o contrario...,1
SIMÃO PEDRA triste e confidencial:,1
É sempre assim co'o Judas...,1
Judas tem quando muito trinta e dois annos. É um homem em toda a força,1
da vida, conformação máscula, de virilidade quasi selvagem. Estatura,1
regular. Elle proprio vae dizer-nos d'onde é, e qual a côr dos seus,1
cabellos naturalmente revoltos, curtos e encaracolados. Barba cerrada;,1
pélle morena. Olhar profundo e d'infinita melancolia, que de fórma,1
notavel contrasta da rudeza do resto da figura. Os dentes alvos brilham,1
entre os labios vermelhos; e quando irado, o labio inferior que é,1
grosso, sensual, estremece-lhe como o d'um touro em circo romano. É uma,1
d'essas creaturas que não sabemos se devam inspirar-nos simpathia, se,1
conservar no nosso espirito a idéa de repulsão que a principio nos,1
dispertaram. Gestos angulosos e rigidos; mãos, braços e peito,1
cabelludos; andar pesado. Voz de tonalidades irregulares; extremamente,1
meiga e cariciosa na dôr, extremamente vibrante, herculea na cólera.,1
JUDAS amarga, mas serenamente, depois de ter meditado por algum tempo:,1
Que mal te fiz, João? Chego a pensar que estudas,1
As tuas aggressões áquelle que te présa!,1
Eu tenho uma alma branca, e a consciencia illésa.,1
De injurias contra mim tu sempre estás faminto!,1
Que mal te fiz, João? Tu pensas que não sinto...,1
(E crê que muita vez isto me vem á idéa),1
... Ter nascido em Judá e não na Galiléa?,1
Sou culpado de quê? De ter a pélle escura?,1
De ter cabello negro? Isto é para censura?,1
MATHEUS conciliadôr:,1
Mas se elle já te disse...,1
E eu digo que, em verdade,,1
Prefiro lealmente o odio a esta _amizade_!,1
E volta aos seus pensamentos dominantes.,1
MARTHA, assomando a uma das janellas, n'uma risadinha infantil:,1
Vinde ceiar, que são horas.,1
Não quereis?,1
SIMÃO PEDRA, aproveitando a inconsciente intervenção de Martha,1
Nem se duvída!,1
Pois deixae-vos de demoras,,1
Aliás vae-se a comida!,1
--Uma ceia improvisada,1
Mas nem por isso mesquinha,,1
Podeis crêr.,1
A caminhada,1
Que fizemos foi damninha...,1
Por aguçar o appetite.,1
MARTHA intimativamente, retirando-se da janella:,1
Dize que venham depressa,,1
Porque, faltando ao convite,,1
Sem vós a ceia começa!,1
JOÃO a Matheus e a Eleazar, continuando a conversa interrompida e n'um,1
tom de voz inaudivel para Judas:,1
Dizeis que elle é honesto e probo e crente, em summa,1
Que para ser dos bons não falta a coisa alguma...,1
Talvez que seja assim como dizeis. No entanto,,1
Se para o seu olhar o meu olhar levanto...,1
--É tectrico e sombrio aquelle olhar revêsso!,1
Pensando sempre! Em quê?--Amigos, bem conheço,1
Que pode ser fatal este misterio vivo!,1
Qualquer de nós é meigo, alegre e expansivo...,1
--Quizeram confiar-lhe a bolsa do dinheiro:,1
Não procederam bem.,1
SIMÃO PEDRA que se reunira aos tres, carregando o semblante:,1
JOÃO em tom leviano:,1
O embusteiro,1
Apenas retribue a prova de amizade,1
Gastando em seu proveito o que é da sociedade.,1
SIMÃO PEDRA, que não poude reprimir um sobresalto, tornando-se ainda,1
mais severo:,1
Já não te quero ouvir nem mais uma palavra!,1
No teu peito leal um sentimento lavra,1
Improprio de quem és! Lá dentro direi tudo.,1
Depois do que te ouvi, não posso ficar mudo!,1
ELEAZAR conciliador:,1
Então!,1
MATHEUS detendo Simão Pedra, que ia para entrar em casa do _Leproso_:,1
Menos calor!,1
JOÃO repêso, meigo, supplicante:,1
Oh! cala-te, por Deus!,1
Não vás exacerbar ao nosso Mestre os seus,1
Desgostos; porque, emfim, sou muito leviano...,1
Proveio o que me ouviste apenas de um engano...,1
Simão Pedra, desculpa!,1
Á supplica de João succede algum silencio: todos têem o olhar em Simão,1
Pedra, aguardando o desenlace.,1
SIMÃO PEDRA sorrindo, afinal, benevolo:,1
Eu sei que és razoavel.,1
Já tinha como certa a confissão louvavel,,1
Que logo surgiria á simples ameaça...,1
JOÃO abraçando-o effusivamente:,1
Devemos collocar ao longe o que a desgraça,1
Procura intrometter no nosso coração!,1
O Mestre é que diz bem: nasceste d'um trovão,,1
Mas tens dentro do peito os risos da bonança!,1
Não voltes a magoal-o.,1
Hei de mudar, descansa.,1
Encaminha-se para casa, mas,1
SIMÃO PEDRA detendo-o e apontando para Judas, que nada ouviu do que se,1
passára:,1
E fala-lhe, João: não vês como ficou?,1
JOÃO com bonhomía:,1
Judas, deixa-te d'isso! Anda d'ahi!,1
JUDAS olhando lealmente para elle e com um sorriso de reconciliado:,1
Eu vou.,1
Mas fica, e só os quatro entram para casa.,1
Judas está agora sósinho, sempre sentado junto da fonte, novamente,1
immerso nas suas meditações. Anoiteceu. O luar vem rompendo, illuminando,1
toda a paísagem e coando-se pelas folhas do arvoredo. Uma paz enorme,1
reina em todo o quadro. Calaram-se as cotovias, calaram-se os rebanhos;,1
apenas os ralos se fazem ouvir, estridulos. Muito distante, porém,,1
distinguem-se os sons mal definidos de uma melodia: são os ultimos,1
romeiros, que veem para a festa da Paschoa tangendo psalterio, frauta e,1
pandeiro. É um himno melancólico, dolente, ao pausado compasso da,1
andadura. Pouco a pouco os sons definem-se, approximam-se. A aragem,1
fresca e perfumada balouça docemente o arvoredo.,1
JUDAS solta um suspiro, e erguendo o olhar, expandindo a sua alma:,1
Porque motivo, ó Deus, esta injustiça?,1
Desegualdade sem razão, medonha!,1
Uma alma pura, virginal, submissa;,1
Outra, vertendo em lagrimas peçonha!,1
--Ah! fatal e profundo sentimento,,1
Que tens do abismo a attracção e o horror!,1
És para mim dulcissimo tormento,,1
E sendo um grande amor... não és amor!,1
Um desejo voraz, ardente, furia,,1
Que a força da vontade não arranca!,1
Tem sonhos de volupia, de luxuria,,1
Com as palpitações da carne branca!,1
Transforma o ideal em verdadeiro,1
E a minha alma timida conduz,1
A seductor e vago paradeiro,,1
Onde eu estreito um cólo e uns braços nús!,1
Não morrerás? não has de ter um fim,,1
Ó tenebrosa e infernal tortura,,1
Que pareces viver dentro de mim,1
A construir a minha sepultura?,1
--Quem te ordena que leves a maldade,1
A fazer-me avançar para o impossivel?,1
Porque segrédas tu que a castidade,1
Nem sempre pode ser irresistivel,1
Ás seducções frenéticas do amor?,1
E porque vens mostrar-me, sensual,,1
Certa nudez, e em todo o seu fulgor,1
Um monte de oiro junto d'um punhal?,1
--Como és infame! Sim! Com violencia,1
Levas minh'alma fraca aos empurrões.,1
E, como a Daniel, a Consciencia,1
Queres deitar á cova dos leões!,1
--Oh! nunca! Podes crêr que te resisto!,1
Hei de salvar minh'alma moribunda,,1
Arrancar-te de mim, e, depois d'isto,,1
Escarrar-te no corpo, besta immunda!,1
E ergue-se de subito; mas o seu olhar detem-se, vendo no limiar da porta,1
o vulto de Maria destacando-se no fundo de luz amarelada que vem do,1
interior da casa.,1
Maria, ao reconhecer Judas, parou hesitante. Sobre o quadril esquerdo,1
traz apoiada uma amphora de grés. Tem uns momentos d'indecisão. Alguma,1
coisa extraordinaria occulta-se n'aquellas duas almas... Depois, Maria,,1
como animada de forte resolução, encaminha-se para a fonte, passando,1
pela frente de Judas, natural e serena. Elle seguiu-a com o olhar e,1
quedou-se a contemplal-a. Maria põe a amphora sob a corrente d'agua, e,1
espera que encha.,1
Os romeiros aproximam-se com o seu tanger plangente.,1
Dir-se-ía que uma lagrima resvalou no rosto de Judas, cujo olhar está,1
agora fito no chão. Mas, por fim, com expressão de resignado, eil-o que,1
se dirige para casa, onde entra a passos lentos.,1
A amphora transborda. Maria põe-na sobre o quadril e dá alguns passos.,1
Parou: negro pensamento lhe atravessa o espirito; olha para as bandas da,1
cidade com expressão de temor, como se d'ali podesse vir desgraça para,1
algum ente querido... Entra depois em casa, serenamente, fechando a,1
porta.,1
Os romeiros, cinco apenas, passam na estrada, tangendo os seus,1
instrumentos, e vão-se afastando, afastando gradualmente, os sons,1
sumindo-se pouco a pouco na distancia. A lua sobe com lentidão; paira em,1
todo o quadro a quietação muda da Natureza adormecida...,1
Mas um vulto suspeito e cauteloso deslisa na sombra, e dir-se-ía que,1
esse vulto é Benjamim.,1
Estamos em casa de Simão de Bethania.,1
A casa de entrada é ampla. N'uma das paredes abrem-se as duas janellas,1
tendo ao centro a porta; por ellas vemos o aprazivel sitio já nosso,1
conhecido e a fonte d'onde a agua dimana. Na parede, que nos fica á,1
direita, outra janella olha para Jerusalem e para a estrada que á cidade,1
conduz; na da esquerda, pequena porta com trez degraus dá communicação,1
para o interior.,1
Em volta da casa, a todo o comprimento das paredes, largo e baixo poial,,1
onde existem em descuidosa promiscuidade varios utensilios da vida,1
domestica, pratos, amphoras, onde o estilo ainda egypcio se revela;,1
pequenos copos de barro pintalgados, almofadas de velho tecido da Syria,,1
pedaços d'esteira de junco do Jordão. Não distante da janella fronteira,1
á cidade, pequena meza redonda cercada de camilhas denuncía tambem a,1
influencia do triclinio nos costumes da Judéa.,1
A lampada de cobre, que do tecto pende, tem ainda nos seus quatro bicos,1
os morrões que a apagada luz na vespera deixara. É dia claro,,1
festivamente bello; o sol dardeja e as cigarras vibram.,1
No triclinio trez homens estão deitados: Simão Pedra, Matheus e o,1
_Leproso_. Comem vagarosamente restos de legumes e peixe secco,1
temperados com oleo de oliveira doce, de que estivera cheio e amplo,1
graal collocado no centro da meza. Duas infusas junto de Simão; pedaços,1
de pão levedo em frente de cada commensal.,1
Não distante da porta, Judas está sentado no poial, as pernas cruzadas,1
sob a tunica, e tendo nos joelhos um grande rôlo aberto onde lê attento,1
as Sagradas Escripturas.,1
João, no limiar da porta, sem manto, a tunica á cintura aconchegada por,1
uma velha corda de linho que foi branco, braços cruzados,--medita e,1
lança de quando em quando olhares furtivos e penetrantes, que prescrutam,1
Judas.,1
De ha muito que não como, e sem lisonja o digo,,1
Um pão com tal sabor. Que saboroso trigo!,1
Não achas?,1
Fabricado em casa do Simão...,1
Obrigado. Outro copo?,1
O vinho é de Ascalão.,1
Conhece-se a distancia apenas pelo aroma.,1
Continuam a dar-lhe enorme apreço em Roma,1
Para onde vão toneis sobre toneis!,1
MATHEUS que n'um movimento de cabeça concordára e que bebera depois,1
d'aspirar o bom perfume:,1
Pudera!,1
O amor entre os pagãos á embriaguez prospéra.,1
SIMÃO apresentando outra infusa:,1
Temos agora aqui magnifica cerveja.,1
De cevada?,1
Não é.,1
De peros?,1
De cereja,1
Cultivada em Ramá.,1
Com sorriso amigo, Simão Pedra e Matheus estendem os copos para Simão,1
que n'elles verte o nectar rubro e espumante. Cheio o seu, bebem os trez,1
em silencio e com recolhimento.,1
SIMÃO PEDRA pousando o copo onde o olhar pensativo está fixando:,1
Olhae como é profundo,1
Este segredo!,1
Qual?,1
Por um processo immundo,,1
Pela fermentação, consegue-se tirar,1
Da materia um licor tão grato ao paladar.,1
JOÃO que parecia estranho a tudo, fala emfim, com o olhar cravado em,1
Judas, que continúa lendo:,1
Não acontece o mesmo a tudo que fermenta.,1
Ha certas podridões que geram peçonhenta,1
Bebida a que nem Deus o rude effeito acalma.,1
Entrando pela vista, é digirida na alma!,1
E sinto que n'esta hora a dôr que me aniquila,1
Provem d'esse veneno horrivel que distila,1
Muito perto de mim com lugubre misterio.,1
Inutil procurar um doce refrigerio,,1
Por que elle é semelhante á nodoa, que onde cae,1
Arredonda-se, alastra, afunda-se e não sae!,1
Judas ergue para elle o olhar inquiridor; mas João já se retirou para,1
alem da porta e passeia em frente d'ella como para espairecer os negros,1
pensamentos.,1
Judas voltou á leitura sempre silencioso.,1
SIMÃO quasi em segredo aos seus dois commensaes:,1
Nunca ouvi tal falar da bôca do João.,1
SIMÃO PEDRA tristemente:,1
E o caso é que tambem começo a achar razão,1
A tudo que elle diz.,1
Abandonam o triclinio reunindo-se junto da proxima janella, onde,1
conversam em voz baixa sem que Judas possa ouvil-os.,1
O Judas, francamente,,1
No que hontem se passou, deu prova de demente,,1
Ou de infiel ao Mestre e cinico impostor!,1
Hontem?,1
Á noite.,1
O quê? Dizei-me, por favor.,1
Não sei do que falaes.,1
Passou-se tudo aqui.,1
Durante a ceia. Não ouviste?,1
Não; sahi,,1
Mas foi por pouco tempo.,1
SIMÃO PEDRA muito confidencial:,1
Então eis o motivo...,1
--Durante toda a noite esteve pensativo,1
E por mais d'uma vez fugiu-nos á conversa,1
Com palavras banaes e frias. Tão submersa,1
Tinha em meditações a alma, que ninguem,1
Deixou de perceber...,1
Percebi eu tambem,1
Que, muito mais que outr'ora, havia no seu rosto,1
A fiel expressão d'um intimo desgosto.,1
Maria, aquella honesta e bôa rapariga,,1
Desejando seguir a usança muito antiga,1
No povo do Senhor, a de render um preito,1
De sincera amizade e natural respeito,1
Ao viajante illustre a quem se dá guarida,,1
Abeirou-se da mesa, e, muito commovida,,1
Derramou sobre o Mestre um perfumado unguento,1
De nardo puro. Então, infame sentimento,1
De Judas se apodéra. Em vez de prazenteiro,1
E alegre como nós, aquelle companheiro,1
Reputado fiel, só tem uma censura,1
Para galardoar a prova de ternura:,1
--«Melhor fôra, elle diz, que esse custoso nardo,1
Se tivesse vendido. Eu, que o dinheiro guardo,,1
Saberia guardar tambem zelosamente,1
A importancia da venda a todos pertencente,,1
Entregando-a depois em meu e vosso nome,1
Áquelles que teem frio e áquelles que teem fome.»,1
SIMÃO como assombrado:,1
Mas isso foi um insulto! E o mestre?,1
Respondeu,1
Brandamente, como é velho costume seu.,1
Nem siquer suspeitaes a causa?,1
Tarde ou cedo,,1
Alguem desvendará por certo este segredo.,1
E vão-se os trez para alem da porta, onde ficam ainda conversando,,1
encaminhando-se por fim para mais distante.,1
JOÃO tinha voltado, e encostára-se a uma das camilhas, observando sempre,1
Judas. Como não possa conter o que sente em si, aproveita o ensejo de,1
estar a sós com elle para expandir-se. Começa, porem, em tom sereno,,1
como procurando dominar-se:,1
O que estás lendo? O assumpto é grave, ao que supponho.,1
Reparo em que lhe dás toda a attenção.,1
Medonho!,1
--A infamia de Caím.,1
É proveitoso, e muito!,1
Feliz coincidencia! E eu que tinha o intuito,,1
No que inda ha pouco ouviste em frase rude e chã,,1
De falar d'esse crime o qual desde manhã,1
Tanto me preoccupa.,1
Muito ironico:,1
Á tua consciencia,1
Não pode causar damno esta coincidencia...,1
És tão sincero, és tão leal e virtuoso!...,1
--Mas devo confessar-te...,1
JUDAS sereno e sempre sentado:,1
Que estou ancioso,1
De ha muito por que tu expliques o motivo,,1
Que te obrigou a ser cruel e offensivo,1
Para quem te consagra uma affeição fraterna.,1
Exaltando-se pouco a pouco, mau grado seu:,1
O que possues em ti, Judas, que assim governa,1
O teu entendimento? É sempre em vão que eu scismo,1
No misterio que abriu na tua frente um abismo,1
Cercado de fataes e nús despenhadeiros,,1
Affastando-te assim dos nossos companheiros,,1
Sem que nenhum pezar lá dentro te remorda.,1
E indicando a corda com que prende a tunica á cintura:,1
Somos na união eguaes a esta corda,,1
Que as estrigas de linho unidas fortemente,1
Fizeram tão subtil, mas que é tão resistente.,1
Na sólida affeição, unificados, somos,1
Assim como n'um fructo os solidarios gommos.,1
--Desfia-se, porem, a corda, ao que parece;,1
E julgo ver no fructo um gommo que apodrece...,1
JUDAS com affectada bonhomía:,1
Talvez.--Mas quando penso,1
Que o teu profundo mal pode tornar immenso,1
O crime, e que será depois intempestivo,1
O arrependimento... Em summa, não me esquivo,1
A dizer-te o que tenho a corroer-me a entranha:,1
Nunca simpathisei comtigo; não se amanha,1
Com a tua frieza a ardencia do meu peito.,1
É por isto que eu sou dos Dôse o mais affeito,1
A observar-te.,1
A mim?!,1
E sabes o que vejo?,1
Que tens uma alma rude e instincto malfasejo!,1
JUDAS erguendo-se, vagaroso, com o rôlo nas mãos, fingindo indifferença:,1
Talvez.--Mas quem nasceu,,1
Tendo as ondas por berço, e a cupula do ceu,1
Por vasto cortinado; aquelle que na infancia,1
Aprendeu a olhar com summa repugnancia,1
Para tudo o que seja immundo, vil, terrestre,,1
Muito melhor que tu ha de entender o Mestre.,1
Não podem comprehendel-o os rudes corações,1
Selvagens como o teu!,1
Não podes comprehendel-o, e apezar d'isto queres,1
Viver junto de nós!... Ás bolsas esmoleres,1
Supplícas com aspecto humilde uma parcella,1
P'ra o Mestre!--Na verdade, é preciosa e bella,1
Tanta dedicação! Provoca o elogío!,1
--Ah! julgas que não sinto ás vezes, quando espío,1
O teu olhar matreiro, o brilho da avareza,1
A dar-lhe um tom sinistro?--Odeias a pobreza!,1
Ambicioso e fraco, andas comnosco apenas,1
Como atraz do rebanho os lobos e as hienas!,1
JUDAS avançando para elle, irrompe finalmente com um rugido abafado, o,1
olhar ameaçador:,1
João!,1
JOÃO cruza os braços e sereno:,1
Podes bater, amigo! Por que esperas?,1
Judas, arrependido do seu primeiro movimento, affastou-se rapido. E,1
João, agora ainda mais excitado:,1
E chamas illusões! e vens chamar chiméras,1
Ao que é verdade núa e positiva?!--Agora,1
Que a todos cumpre ter mais força do que outr'ora;,1
No actual momento em que até eu vacílo,,1
Presentindo que não poderá ser tranquillo,1
O futuro do Mestre e de nós todos, mudas,1
Em odio declarado essa frieza, Judas?!,1
Que mal te fez, que affronta, elle, que é tão bondoso?,1
Confessa que proveito, ou que terrivel goso,1
Encontras n'essa infamia abjecta!,1
Desesperado pela indifferença apparente de Judas:,1
Que supplicio!,1
Não poder arrancar-te ao menos um indicio!,1
Não poder descobrir a causa que assim léva,1
O teu cerebro audaz a trabalhar na tréva!,1
Ah! não poder, depois do que disseste aqui,,1
Rachar-te o craneo ao meio, e entrar dentro de ti!,1
E senta-se, febril, n'uma das camilhas.,1
JUDAS, que em silencio estivera contorcendo as mãos nervosamente,,1
diz-lhe emfim com muita ironía:,1
Está bem! muito bem! Ao menos, esperava,1
Que soubesses deter a incandescente lava,,1
Que todo me queimou, transformando em carvão,1
A minha consciencia... embora de _ladrão_.,1
Resoluto, firme, altivo:,1
Vou deixar-vos! Não sei qual seja o meu destino;,1
Mas isso que te importa? Um ser tão viperino,,1
Como eu, só tem logar no meio da ralé,,1
E quando estorva o passo, affasta-se co'o pé!,1
JOÃO repêso, olha para elle bondosamente e com um sorriso amigo:,1
Acalma a excitação, Judas. O principal,1
Resume-se, ao presente, em confessares qual,1
A origem do teu odio. É isto o que eu te peço,,1
É isto o que eu desejo.,1
JUDAS n'um brusco impulso de independencia:,1
Isso é que não! Confesso,1
Á minha consciencia o que me vae no peito!,1
Arrancar-me um segredo? E julgas ter direito,1
De desvendar em mim reconditos misterios?,1
Acalmo a excitação, mas guarda os vituperios!,1
--Pediste por acaso ao mar em que nasceste,1
Que descobrisse o leito? Alguma vez desceste,1
A espreitar-lhe a vida, a revolver-lhe o fundo?,1
Pois o meu coração como elle é tão profundo,,1
Que se alguem pretendesse abrir uma passagem,,1
Teria de morrer submerso na voragem!,1
João avançou para elle com expressão conciliadora; Judas, porem,,1
detem-no com um gesto. Depois, parecendo sincero, mas occultando as suas,1
verdadeiras intenções:,1
Não me perguntes mais. Ao peso da injustiça,1
Conseguirei vergar esta alma tão submissa.,1
Chiméras, illusões condemnam-me implacaveis...,1
Judas, vae reunir-te áquelles miseraveis,,1
Que vagueiam, sem rumo, e que andam foragidos,,1
Erguendo para os ceus o olhar e os gemidos...,1
Depois quando vier o derradeiro instante,,1
Desamparado, nú, febril, agonisante,,1
Revolvendo no pó as tuas mãos afflictas,,1
Em vez de maldições, tem palavras bemditas,,1
Para quem desprezou teu pobre coração,,1
Deixando-o succumbir como se fosse um cão!,1
--Adeus e para sempre.,1
Com ironia muito concentrada, já no limiar da porta:,1
Acceita em pensamento,1
O que d'aqui te envio: em tão cruel momento,,1
Abraçar-te e beijar-te é todo o meu desejo,1
Sincero. Para quê? pois de que serve um beijo,1
Dado por mim? Demais, meu hálito enxovalha!,1
--Adeus, amigo. Adeus... Adeus, João.,1
E por entre dentes, inaudivel e rancoroso, saíndo a porta:,1
Canalha!,1
JOÃO ficou meditando, e depois generosamente, como falando á sua propria,1
consciencia:,1
Oh! fui desapiedado! A sua voz tornou-se,1
Tão lacrimosa e humilde! É mui de crêr que eu fosse,1
Pedir ao exagero o auxilio necessario,1
Para augmentar de vulto o crime involuntario,,1
Ou a leviandade alheia á malvadez.,1
Pobre Judas! E vae fugir de nós! Talvez,1
Arrastar pelo mundo uma existencia nua,1
De affectos, desgraçada... E não por culpa sua...,1
Á porta de casa appareceram Eleazar, Simão Pedra, Matheus e Simão de,1
Bethania.,1
ELEAZAR indicando João aos companheiros:,1
Eil-o aqui está! E nós á tua espera!,1
São horas de partir para a cidade.,1
JOÃO cercado pelos amigos e já esquecido do que se passou, todo o seu,1
pensamento entregue ao Mestre:,1
Não deve ser pequena a caravana!,1
Junto do Mestre, o povo delibera,1
Acompanhal-o.,1
O que é grande imprudencia!,1
Grande imprudencia?!,1
Os nossos companheiros,1
Em vão procuram com docilidade,1
Suster o passo á gente leviana...,1
E porquê? Não são elles verdadeiros,1
Defensores do Mestre?,1
Mas reflecte...,1
O povo quer seguir-nos? Pois que venha!,1
Mas pode provocar algum tumulto.,1
É preciso que a dentro da muralha,1
Evitemos qualquer indisciplina.,1
Tu que dizes? Que pensamento occulto,1
Encerram taes palavras? Será crivel,1
Que te arreceies da imbecil gentalha,,1
Que anda a rosnar as suas ameaças,1
Contra a força que temos, invencivel,,1
Justiceira e tremenda?!,1
E porque não?,1
Onde possues algemas e mordaças,1
Para conter as furias imminentes?,1
Pode acaso fugir-se a uma traição?,1
